CODESC;NOMESC;Dir;MUN;NIVEL SOCIOECONOMICO DOS ALUNOS
18600;CELESTINO DE CAMPOS PROFESSOR;CAMPINAS OESTE;CAMPINAS;4,94
18612;CARLOS CRISTOVAM ZINK PROFESSOR;CAMPINAS OESTE;CAMPINAS;3,59
18624;JOAQUIM PEDROSO DE ALVARENGA;CAPIVARI;INDAIATUBA;4,74
18659;GERALDO ENEAS DE CAMPOS PROFESSORA;CAPIVARI;INDAIATUBA;2,7
18661;HELENA DE CAMPOS CAMARGO PROFESSORA;CAPIVARI;INDAIATUBA;1,62
18673;JOSE DE CAMARGO BARROS DOM;CAPIVARI;INDAIATUBA;2,26
18697;JOSE DOS SANTOS PADRE;CAMPINAS OESTE;CAMPINAS;4,01
18703;ANDRE FORT PROFESSOR;CAMPINAS LESTE;CAMPINAS;4,44
18715;ANTONIO VILELA JUNIOR PROFESSOR;CAMPINAS LESTE;CAMPINAS;3,24
18727;ELIAS MASSUD DOUTOR;CAPIVARI;MONTE MOR;3,62
18739;FRANCISCO DE ARAUJO MASCARENHAS DOUTOR;SUMARE;PAULINIA;2,64
18740;EMILIO JOSE SALIM MONSENHOR DOUTOR;CAMPINAS OESTE;CAMPINAS;1,61
18764;ATALIBA NOGUEIRA BARAO;CAMPINAS LESTE;CAMPINAS;1,88
18776;CARLOS LENCASTRE PROFESSOR;CAMPINAS LESTE;CAMPINAS;2,49
18788;HERCY MORAES PROFESSORA;CAMPINAS LESTE;CAMPINAS;4,45
18797;DOM BARRETO;CAMPINAS OESTE;CAMPINAS;1,96
18806;FELIPE CANTUSIO;CAMPINAS LESTE;CAMPINAS;1,03
18818;CASTINAUTA DE BARROS MELLO E ALBUQUERQUE PROFESSORA;CAMPINAS LESTE;CAMPINAS;5,53
18824;MANOEL ALEXANDRE MARCONDES MACHADO DOUTOR;CAMPINAS OESTE;CAMPINAS;4,23
18831;JOAO GUMERCINDO GUIMARAES PROFESSOR;CAMPINAS OESTE;CAMPINAS;3,97
18843;HELIO CERQUEIRA LEITE PROFESSOR;CAPIVARI;INDAIATUBA;1,79
18855;JOSE CARLOS NOGUEIRA REVERENDO PROFESSOR;CAMPINAS OESTE;CAMPINAS;3,01
18867;FRANCISCO ALVARES PROFESSOR;CAMPINAS LESTE;CAMPINAS;2,41
18879;VITOR MEIRELLES;CAMPINAS LESTE;CAMPINAS;1,93
18880;CARLOS FRANCISCO DE PAULA PROFESSOR;CAMPINAS LESTE;CAMPINAS;2,66
18892;PORPHYRIO DA PAZ GENERAL;SUMARE;PAULINIA;2,27
18909;RANDOLFO MOREIRA FERNANDES;CAPIVARI;INDAIATUBA;3,73
18910;NORBERTO DE SOUZA PINTO PROF DOUTOR;CAMPINAS OESTE;CAMPINAS;4,27
18922;GUIDO SEGALHO;CAMPINAS LESTE;CAMPINAS;2,37
18934;CONSUELO FREIRE BRANDAO PROFESSORA;CAMPINAS LESTE;CAMPINAS;2,57
18946;MOYSES HORTA DE MACEDO PROFESSOR;SAO JOAO DA BOA VISTA;TAPIRATIBA;5,34
18971;JOAO DE MOURA GUIMARAES PROFESSOR;SAO JOAO DA BOA VISTA;MOCOCA;6,09
18983;ANTONIO DIAS PASCHOAL PROFESSOR;SAO JOAO DA BOA VISTA;TAMBAU;4,98
19008;DONIZETTI TAVARES DE LIMA PADRE;SAO JOAO DA BOA VISTA;TAMBAU;4,75
19012;JUSTINO GOMES DE CASTRO MAESTRO;SAO JOAO DA BOA VISTA;MOCOCA;6,51
19021;BENJAMIN BASTOS;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;3,94
19033;GILBERTO GIRALDI;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;4,89
19045;STELLA COUVERT RIBEIRO PROFESSORA;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;5,22
19057;ALEXANDRE FLEMING;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;4,57
19070;HILDA SILVA PROFESSORA;SAO JOAO DA BOA VISTA;MOCOCA;5,63
19082;GENY GOMES DONA;SAO JOAO DA BOA VISTA;SAO SEBASTIAO DA GRAMA;5,27
19100;JOAO GABRIEL RIBEIRO DOUTOR;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;2,63
19112;CANDIDO RODRIGUES DOUTOR;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;3,83
19124;RITA DE MACEDO BARRETO PROFESSORA;SAO JOAO DA BOA VISTA;ITOBI;5,96
19136;JORGE LUIZ ABICHABKI PROFESSOR;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;5,52
19148;EUCLIDES DA CUNHA;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;4,8
19159;TARQUINIO COBRA OLYNTHO;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;4,67
19161;BARAO DE MONTE SANTO;SAO JOAO DA BOA VISTA;MOCOCA;4,18
19197;OSCAR VILLARES;SAO JOAO DA BOA VISTA;MOCOCA;4,63
19203;BENEDITO FERRAZ BUENO PROFESSOR;SAO JOAO DA BOA VISTA;MOCOCA;5,32
19215;JOAO CID GODOY PROFESSOR;SAO JOAO DA BOA VISTA;MOCOCA;4,39
19239;EDUARDO VICENTE NASSER DEPUTADO;SAO JOAO DA BOA VISTA;DIVINOLANDIA;4,52
19240;OSCAR WALDOMIRO DE VASCONCELLOS PROFESSOR;SAO JOAO DA BOA VISTA;CACONDE;6,34
19252;LAURO DE ARAUJO;SAO JOAO DA BOA VISTA;CASA BRANCA;5,74
19288;FRANCISCO EUGENIO DE LIMA;SAO JOAO DA BOA VISTA;CASA BRANCA;4,21
19318;FERNANDO MAGALHAES PROFESSOR;SAO JOAO DA BOA VISTA;CACONDE;5,05
19324;SYLVIA PORTUGAL GOUVEA DE SYLLOS PROFESSOR A;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;5,6
19343;FRANCISCO THOMAZ DE CARVALHO DOUTOR;SAO JOAO DA BOA VISTA;CASA BRANCA;4,89
19379;FRANCISCO NAPOLEAO MAIA PROFESSOR;JUNDIAI;JUNDIAI;1,51
19380;RAFAEL DE OLIVEIRA;JUNDIAI;JUNDIAI;3,07
19409;CECILIA ROLEMBERG PORTO GUELLI PROFESSORA;JUNDIAI;JUNDIAI;2,13
19422;JOSE FELICIANO DE OLIVEIRA PROFESSOR;JUNDIAI;JUNDIAI;5,49
19434;JOSE SILVA JUNIOR PROFESSOR;JUNDIAI;JUNDIAI;3,96
19446;MARIA DE LOURDES DE FRANCA SILVEIRA PROFESSORA;JUNDIAI;JUNDIAI;2,68
19458;JOAQUIM ANTONIO LADEIRA PROFESSOR;JUNDIAI;LOUVEIRA;3,24
19461;OSWALDO CAMARGO PIRES PROFESSOR;JUNDIAI;VARZEA PAULISTA;3,06
19471;MARIA DE SAO LUIZ IRMA;JUNDIAI;VARZEA PAULISTA;4,63
19483;TIBURCIO ESTEVAM DE SIQUEIRA;JUNDIAI;VARZEA PAULISTA;3,01
19495;NATHANAEL SILVA PROFESSOR;JUNDIAI;VARZEA PAULISTA;3,14
19501;GABRIEL PAULINO BUENO COUTO BISPO DOM;JUNDIAI;JUNDIAI;1,49
19525;HONORIO HEINRICH BERNARD NACKE MONSENHOR;BRAGANCA PAULISTA;MORUNGABA;3,41
19537;ANTENOR SOARES GANDRA DOUTOR;JUNDIAI;JUNDIAI;2
19549;ALBERTO FERREIRA REZENDE PROFESSOR;JUNDIAI;LOUVEIRA;4,15
19550;ANA PINTO DUARTE PAES PROFESSORA;JUNDIAI;JUNDIAI;3,27
19604;IVONY DE CAMARGO SALLES PROFESSORA;JUNDIAI;ITATIBA;3,09
19653;MANOEL JOSE DA FONSECA;JUNDIAI;ITUPEVA;3,33
19665;JOSE POLLI;JUNDIAI;ITUPEVA;3,94
19677;MANUEL EUCLIDES DE BRITO;JUNDIAI;ITATIBA;3,07
19690;BENEDITA ARRUDA PROFESSORA;JUNDIAI;JUNDIAI;3,45
19719;SIQUEIRA DE MORAES CORONEL;JUNDIAI;JUNDIAI;1,75
19720;CONDE DO PARNAIBA;JUNDIAI;JUNDIAI;2,69
19732;BARAO DE JUNDIAI;JUNDIAI;JUNDIAI;3,14
19744;ADONIRO LADEIRA PROFESSOR;JUNDIAI;JUNDIAI;3,73
19768;PAULO MENDES SILVA;JUNDIAI;JUNDIAI;1,92
19781;RAFAEL MAURO DOUTOR;JUNDIAI;JUNDIAI;4,14
19800;ELOY DE MIRANDA CHAVES DOUTOR;JUNDIAI;JUNDIAI;2,98
19823;QUINZE DE OUTUBRO;JUNDIAI;CAMPO LIMPO PAULISTA;2,72
19835;ALBERTINA FORTAREL PROFESSORA;JUNDIAI;JUNDIAI;1,19
19859;DIOGENES DUARTE PAES;JUNDIAI;JUNDIAI;3,43
19860;JERONIMO DE CAMARGO;JUNDIAI;JARINU;3,56
19872;GETULIO NOGUEIRA DE SA PROFESSOR;JUNDIAI;JUNDIAI;3,32
19896;ELZA FACCA MARTINS BONILHA PROFESSORA;JUNDIAI;CAMPO LIMPO PAULISTA;5,41
19902;CESAR LACERDA DE VERGUEIRO SENADOR;PIRASSUNUNGA;ARARAS;4,23
19914;CESARIO COIMBRA DOUTOR;PIRASSUNUNGA;ARARAS;2,96
19938;ANTONIO ALVES CAVALHEIRO;LIMEIRA;ENGENHEIRO COELHO;6,13
19975;PAULO DE ALMEIDA NOGUEIRA DOUTOR;LIMEIRA;COSMOPOLIS;2,85
20000;CESARINO BORBA;LIMEIRA;IRACEMAPOLIS;3,62
20011;BRASIL;LIMEIRA;LIMEIRA;3,54
20023;JOSE OMETTO;PIRASSUNUNGA;ARARAS;4,61
20035;VICENTE FERREIRA DOS SANTOS PROFESSOR;PIRASSUNUNGA;ARARAS;1,62
20047;YOLANDA SALLES CABIANCA PROFESSORA;PIRASSUNUNGA;ARARAS;4,22
20059;FRANCISCO GRAZIANO;PIRASSUNUNGA;ARARAS;3,04
20060;IGNACIO ZURITA JUNIOR;PIRASSUNUNGA;ARARAS;2,8
20072;JUSTINIANO WHITAKER DE OLIVEIRA CORONEL;PIRASSUNUNGA;ARARAS;2,88
20084;LIONS CLUBE;PIRASSUNUNGA;ARARAS;3,28
20096;ANTONIO PERCHES LORDELLO PROFESSORA;LIMEIRA;LIMEIRA;1,25
20102;ANTONIO DE QUEIROZ PROFESSOR;LIMEIRA;LIMEIRA;1,77
20114;LAZARO DUARTE DO PATEO PROFESSOR;LIMEIRA;LIMEIRA;2,53
20126;LEOVEGILDO CHAGAS SANTOS PROFESSOR;LIMEIRA;LIMEIRA;2,34
20148;RUTH RAMOS CAPPI PROFESSORA;LIMEIRA;LIMEIRA;4,23
20151;ELY DE ALMEIDA CAMPOS PROFESSOR;LIMEIRA;LIMEIRA;3,21
20163;GABRIEL POZZI PROFESSOR;LIMEIRA;LIMEIRA;2,98
20229;CASTELLO BRANCO;LIMEIRA;LIMEIRA;2,53
20230;JOSE AMARO RODRIGUES;LIMEIRA;ARTUR NOGUEIRA;3,38
20254;ARMANI PADRE;MOGI MIRIM;MOGI-GUACU;2,93
20278;LUIZ MARTINI;MOGI MIRIM;MOGI-GUACU;2,86
20285;GERALDO SORG PROF;MOGI MIRIM;MOGI-GUACU;5,74
20291;BENEDITA NAIR XAVIER VEDOVELLO PROFA;MOGI MIRIM;MOGI-GUACU;5,6
20308;VENANCIO CORONEL;MOGI MIRIM;MOGI-MIRIM;2,08
20321;FRANCISCO ANTONIO GONCALVES;MOGI MIRIM;MOGI-GUACU;4,19
20333;CAMILO LELLIS PROFESSOR;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;6,1
20345;JUCA LOUREIRO PROFESSOR;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;4,46
20357;LEME CARDEAL;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;2,35
20382;AGENOR DE CARVALHO CAPITAO;MOGI MIRIM;ESTIVA GERBI;3,86
20394;JOAQUIM LEITE DE SOUZA CEL;MOGI MIRIM;MOGI-GUACU;5,43
20400;ANALIA DE ALMEIDA BUENO PROFA;MOGI MIRIM;MOGI-GUACU;3,31
20412;ALMEIDA VERGUEIRO DR;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;4,18
20424;BENEDITO NASCIMENTO ROSAS PROFESSOR;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;5,76
20436;BATISTA NOVAIS CORONEL;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;4,74
20448;TIMOTHEO SILVA PROFESSOR;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;4,66
20459;JOAO URIAS DA SILVA CAPITAO;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;6,54
20485;ORESTES LADEIRA PE;MOGI MIRIM;CONCHAL;3,7
20515;JOSE THEODORO DE MORAES;SAO JOAO DA BOA VISTA;AGUAI;6,01
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,06
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,06
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,06
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,06
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,06
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,06
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,06
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,06
20539;OSCAR RODRIGUES ALVES DR;MOGI MIRIM;MOGI-MIRIM;3,33
20540;JOSUE SILVEIRA DE MATTOS PADRE;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;4,97
20552;SANTO ANTONIO;MOGI MIRIM;SANTO ANTONIO DE POSSE;3,96
20588;JOAQUIM JOSE CORONEL;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;3,22
20618;ERNANI CALBUCCI PROF;MOGI MIRIM;MOGI-MIRIM;3,23
20624;VALERIO STRANG PROF;MOGI MIRIM;MOGI-MIRIM;5,37
20631;NORA MONSENHOR;MOGI MIRIM;MOGI-MIRIM;2,91
20655;ARISTIDES GURJAO PROF;MOGI MIRIM;MOGI-MIRIM;4,91
20679;JOSE JUSTINO DE OLIVEIRA;SAO JOAO DA BOA VISTA;SANTO ANTONIO DO JARDIM;4,88
20680;ANESIA MARTINS MATTOS PROFESSORA;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;5,54
20692;CRISTIANO OSORIO DE OLIVEIRA CORONEL;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;3,78
20709;DOMINGOS THEODORO DE OLIVEIRA AZEVEDO;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;3,39
20710;TEOFILO DE ANDRADE DOUTOR;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;2,71
20722;EGLE LUPORINI COSTA PROFESSORA;SAO JOAO DA BOA VISTA;AGUAI;3,83
20734;ADEMAR VIEIRA PISCO;PIRACICABA;SANTA MARIA DA SERRA;6,08
20758;MIRANDOLINA DE ALMEIDA CANTO PROFESSORA;PIRACICABA;PIRACICABA;3,41
20761;ALCIDES GUIDETTI ZAGATTO PROFESSOR;PIRACICABA;PIRACICABA;4,97
20771;AUGUSTO SAES PROFESSOR;PIRACICABA;PIRACICABA;2,49
20783;JOAO CONCEICAO DOUTOR;PIRACICABA;PIRACICABA;2,85
20795;MARIA JANUARIA VAZ TUCCORI PROFESSORA;CAPIVARI;CAPIVARI;3,47
20801;FABIANO JOSE MOREIRA CAMARGO PADRE;CAPIVARI;CAPIVARI;4,82
20825;ELIAS DE MELLO AYRES PROFESSOR;PIRACICABA;PIRACICABA;0,77
20837;CATHARINA CASALE PADOVANI PROFESSORA;PIRACICABA;PIRACICABA;4,36
20849;ANTONIO DE MELLO COTRIM PROFESSOR;PIRACICABA;PIRACICABA;4,42
20850;MANOEL FERRAZ PROFESSOR;BRAGANCA PAULISTA;BOM JESUS DOS PERDOES;6,14
20862;PRUDENTE DOUTOR;PIRACICABA;PIRACICABA;1,23
20874;VALMAR LOURENCO SANTIAGO PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,53
20886;FRANCISCA ELISA DA SILVA;PIRACICABA;PIRACICABA;1
20898;HONORATO FAUSTINO;PIRACICABA;PIRACICABA;2,25
20916;MORAIS BARROS;PIRACICABA;PIRACICABA;3
20928;PEDRO DE MELLO;PIRACICABA;PIRACICABA;4,55
20941;MASCARENHAS DE MORAES GENERAL;CAPIVARI;ELIAS FAUSTO;5
20953;GENNY PIMAZZONI PROFESSORA;CAPIVARI;ELIAS FAUSTO;4,87
20965;RIO BRANCO BARAO DO;PIRACICABA;PIRACICABA;2,56
20977;ALFREDO CARDOSO DOUTOR;PIRACICABA;PIRACICABA;2,86
20989;PEDRO MORAES CAVALCANTI;PIRACICABA;PIRACICABA;2,03
20990;JOSE ABILIO DE PAULA;PIRACICABA;SAO PEDRO;4,3
21027;JOSE ROMAO PROFESSOR;PIRACICABA;PIRACICABA;1,97
21039;MANOEL DIAS DE ALMEIDA PROFESSOR;PIRACICABA;SALTINHO;3,1
21040;JOAO ALVES DE ALMEIDA PROFESSOR;PIRACICABA;PIRACICABA;4,66
21052;OLIVIA BIANCO PROFESSORA;PIRACICABA;PIRACICABA;3,8
21064;JERONYMO GALLO MONSENHOR;PIRACICABA;PIRACICABA;2,17
21076;SUD MENNUCCI;PIRACICABA;PIRACICABA;1,44
21088;JACANA ALTAIR PEREIRA GUERRINI PROFESSORA;PIRACICABA;PIRACICABA;4,41
21097;JOSE DE MELLO MORAES PROFESSOR;PIRACICABA;PIRACICABA;2,49
21118;JENI APPRILANTE PROFESSORA;CAPIVARI;RAFARD;4,22
21124;MATEUS BISPO DOM;CAPIVARI;MOMBUCA;5,19
21155;MANOEL DA COSTA NEVES PROFESSOR;CAPIVARI;RIO DAS PEDRAS;3,33
21179;JORGE COURY DOUTOR;PIRACICABA;PIRACICABA;3,12
21180;SAMUEL DE CASTRO NEVES DOUTOR;PIRACICABA;PIRACICABA;2,66
21209;JOSE MARTINS DE TOLEDO PROFESSOR;PIRACICABA;PIRACICABA;4,5
21222;PEDRO CREM FILHO PROFESSOR;PIRACICABA;CHARQUEADA;4,37
21234;ANGELO FRANZIN;PIRACICABA;AGUAS DE SAO PEDRO;1,66
21246;ABIGAIL DE AZEVEDO GRILLO PROFESSOR;PIRACICABA;PIRACICABA;3,47
21258;ANGELA MARIA DA PAIXAO COSTA PROFA;MOGI MIRIM;MOGI-GUACU;4,5
21283;BENEDITO DUTRA TEIXEIRA PROFESSOR;PIRACICABA;CHARQUEADA;4,55
21295;CARLOS GUIMARAES DOUTOR;PIRASSUNUNGA;SANTA CRUZ DAS PALMEIRAS;5,45
21301;JOSE JORGE NETO PROFESSOR;PIRASSUNUNGA;ANALANDIA;3,66
21313;PEDRINA PIRES ZADRA PROFESSORA;PIRASSUNUNGA;PORTO FERREIRA;5,33
21325;WASHINGTON LUIZ;PIRASSUNUNGA;PORTO FERREIRA;4,31
21337;QUEIROZ FILHO PROFESSOR;PIRASSUNUNGA;LEME;3,76
21350;LUIZ NARCISO GOMES DOUTOR;PIRASSUNUNGA;SANTA CRUZ DA CONCEICAO;3,74
21428;WALDEMAR FERREIRA PROFESSOR;PIRASSUNUNGA;LEME;3,13
21436;NOSSA SENHORA DE LORETO;PIRASSUNUNGA;PIRASSUNUNGA;2,56
21441;PIRASSUNUNGA;PIRASSUNUNGA;PIRASSUNUNGA;3,03
21465;FRANCO CORONEL;PIRASSUNUNGA;PIRASSUNUNGA;3,44
21477;MANOEL JACINTHO VIEIRA DE MORAES DOUTOR;PIRASSUNUNGA;PIRASSUNUNGA;3,03
21489;ELOI CHAVES;PIRASSUNUNGA;PIRASSUNUNGA;5,07
21490;MARIA JOAQUINA DE ARRUDA PROFESSORA;PIRASSUNUNGA;LEME;2,95
21519;LAURO BARREIRA;PIRASSUNUNGA;SANTA CRUZ DAS PALMEIRAS;4,41
21520;NEWTON PRADO;PIRASSUNUNGA;LEME;4,45
21532;DJALMA FORJAZ DOUTOR;PIRASSUNUNGA;PORTO FERREIRA;5,86
21556;CAROLINA AUGUSTA SERAPHIM PROFESSORA;LIMEIRA;RIO CLARO;2,83
21573;JOAQUIM SALLES CORONEL;LIMEIRA;RIO CLARO;3,14
21611;JOAQUIM RIBEIRO;LIMEIRA;RIO CLARO;3,33
21623;JOSE FERNANDES PROFESSOR;LIMEIRA;RIO CLARO;4,23
21635;PEDRO RAPHAEL DA ROCHA;LIMEIRA;SANTA GERTRUDES;3,76
21647;ANTONIO LUCIANO DA FONSECA CORONEL;JAU;TORRINHA;4,86
21659;JANIO QUADROS GOVERNADOR;SAO CARLOS;CORUMBATAI;3,61
21672;MARCELO DE MESQUITA PROFESSOR;LIMEIRA;IPEUNA;4,49
21684;JOAQUIM DE TOLEDO CAMARGO PROFESSOR;SAO CARLOS;ITIRAPINA;3,26
21696;MARCIANO DE TOLEDO PIZA PROFESSOR;LIMEIRA;RIO CLARO;2,46
21702;JOAO BATISTA LEME PROFESSOR;LIMEIRA;RIO CLARO;2,58
21714;LAZARO FRANCO DE MORAES;JAU;TORRINHA;4,06
21726;MICHEL ANTONIO ALEM PROFESSOR;LIMEIRA;RIO CLARO;3,53
21738;ODILON CORREA PROFESSOR;LIMEIRA;RIO CLARO;5,49
21748;RAUL FERNANDES CHANCELER;LIMEIRA;RIO CLARO;3,72
21763;JOSE LEVY CORONEL;LIMEIRA;CORDEIROPOLIS;3,8
21775;JAMIL ABRAHAO SAAD;LIMEIRA;CORDEIROPOLIS;3,69
21787;BARAO DE PIRACICABA;LIMEIRA;RIO CLARO;2,28
21805;DINAH LUCIA BALESTRERO PROFESSORA;JAU;BROTAS;3,86
21829;MARCELINO BRAGA CEL;ARARAQUARA;BOA ESPERANCA DO SUL;5,08
21830;DINORA MARCONDES GOMES PROFA;ARARAQUARA;AMERICO BRASILIENSE;4,69
21854;BENTO DE ABREU;ARARAQUARA;ARARAQUARA;2,36
21866;BENTO DE ABREU;ARARAQUARA;SANTA LUCIA;5,45
21878;PEDRO MORGANTI COMENDADOR;ARARAQUARA;RINCAO;5,51
21885;ANTONIA EUGENIA MARTINS PROFA;ARARAQUARA;ARARAQUARA;6,3
21891;GERALDO HONORATO AZZI SACHS PROF;ARARAQUARA;ARARAQUARA;3,56
21908;GAVIAO PEIXOTO CONSELHEIRO;ARARAQUARA;GAVIAO PEIXOTO;5,49
21912;LUZIA DE ABREU PROFA;ARARAQUARA;NOVA EUROPA;5,44
21921;ALFREDO EVANGELISTA NOGUEIRA;ARARAQUARA;TRABIJU;4,79
21933;NARCISO DA SILVA CESAR;ARARAQUARA;ARARAQUARA;4,51
21945;JOAO PIRES DE CAMARGO DR;ARARAQUARA;ARARAQUARA;3,42
21957;AUGUSTO DA SILVA CESAR PROF;ARARAQUARA;ARARAQUARA;3,18
21969;FLORESTANO LIBUTTI;ARARAQUARA;ARARAQUARA;3,8
21970;VICTOR LACORTE PROF;ARARAQUARA;ARARAQUARA;4,09
21994;DORIVAL ALVES;ARARAQUARA;ARARAQUARA;3,06
22020;ANTONIO JOAQUIM DE CARVALHO;ARARAQUARA;ARARAQUARA;1,99
22056;FERNANDO BRASIL PROF;TAQUARITINGA;TABATINGA;6,73
22068;PEDRO JOSE NETO;ARARAQUARA;ARARAQUARA;1,85
22073;JOAO MANOEL DO AMARAL;ARARAQUARA;ARARAQUARA;1,68
22081;FRANCISCO PEDRO MONTEIRO DA SILVA;ARARAQUARA;ARARAQUARA;4,37
22100;ABDALLA MIGUEL;TAQUARITINGA;TABATINGA;5,05
22123;LETICIA DE GODOY BUENO DE CARVALHO LOPES PROFA;ARARAQUARA;ARARAQUARA;2,51
22135;ADOLPHO THOMAS DE AQUINO;ARARAQUARA;MOTUCA;4,47
22147;LEA DE FREITAS MONTEIRO PROFA;ARARAQUARA;ARARAQUARA;3,79
22159;ANTONIO LOURENCO CORREA;ARARAQUARA;ARARAQUARA;2,54
22160;JOAO BATISTA DE OLIVEIRA;ARARAQUARA;ARARAQUARA;3,76
22214;BENEDITO PEREIRA CARDOSO PROFESSOR;BARRETOS;BARRETOS;3,67
22238;ENOCH GARCIA LEAL;BARRETOS;GUAIRA;5,14
22263;ALMEIDA PINTO CORONEL;BARRETOS;BARRETOS;3,04
22287;ALEXANDRE DE AVILA BORGES;BARRETOS;JABORANDI;5,47
22329;PAULINA NUNES DE MORAES PROFESSORA;BARRETOS;BARRETOS;4,64
22330;GALDINO DE CASTRO;RIBEIRAO PRETO;CAJURU;4,64
22342;ALICE FONTOURA DE ARAUJO DONA;BARRETOS;COLOMBIA;4,2
22354;MARIO VIEIRA MARCONDES;BARRETOS;BARRETOS;4,83
22391;SILVESTRE DE LIMA CORONEL;BARRETOS;BARRETOS;3,34
22421;DALVA LELLIS GARCIA PRADO PROFA;BARRETOS;GUAIRA;6,38
22433;ZEZINHO PORTUGAL;BARRETOS;GUAIRA;4,37
22445;AYMORE DO BRASIL PROFESSOR;BARRETOS;BARRETOS;5,03
22457;MACEDO SOARES EMBAIXADOR;BARRETOS;BARRETOS;4,91
22469;ANTONIO OLYMPIO DOUTOR;BARRETOS;BARRETOS;4,04
22494;MARIA FALCONI DE FELICIO;SERTAOZINHO;PITANGUEIRAS;6,03
22500;ANSELMO BISPO DOS SANTOS;JABOTICABAL;TAIACU;5,7
22512;BENEDITO ORTIZ CORONEL;JABOTICABAL;TAIUVA;4,95
22559;DOLORES MARTINS DE CASTRO PROFESSORA;SERTAOZINHO;PONTAL;6,07
22561;JOSEPHA CASTRO PROFESSORA;SERTAOZINHO;PONTAL;5,86
22573;ADELIA FRASCINO DONA;SERTAOZINHO;PONTAL;4,54
22585;ODULFO DE OLIVEIRA GUIMARAES;SERTAOZINHO;VIRADOURO;4,68
22603;ABILIO MANOEL;JABOTICABAL;BEBEDOURO;3,56
22627;JOSE FRANCISCO PASCHOAL;JABOTICABAL;BEBEDOURO;6,06
22639;MARIA ELYDE MONACO DOS SANTOS PROFESSORA;SERTAOZINHO;TERRA ROXA;5,11
22640;ORMINDA GUIMARAES COTRIM;SERTAOZINHO;PITANGUEIRAS;5,39
22652;ELISIO DE CASTRO DOUTOR;JABOTICABAL;TAQUARAL;5,83
22664;DOMINGOS PARO;SERTAOZINHO;PITANGUEIRAS;6,24
22676;DOLORES BELEM NOVAES PROFESSORA;SERTAOZINHO;PONTAL;6,09
22697;NENA GIANNASI BUCK PROFESSORA;JABOTICABAL;MONTE AZUL PAULISTA;4,49
22706;VILLA LOBOS MAESTRO;TAQUARITINGA;PIRANGI;4,77
22724;PARAISO CAVALCANTI DOUTOR;JABOTICABAL;BEBEDOURO;4,71
22731;GUSTAVO FERNANDO KUHLMANN;JABOTICABAL;BEBEDOURO;5,05
22755;MAURICIO MONTECCHI;SERTAOZINHO;PITANGUEIRAS;4,64
22767;ABILIO ALVES MARQUES;JABOTICABAL;BEBEDOURO;3,28
22779;CAETANO PETRAGLIA;FRANCA;FRANCA;1,76
22780;AMALIA PIMENTEL PROFA;FRANCA;FRANCA;4,78
22792;JOAO MARCIANO DE ALMEIDA DR;FRANCA;FRANCA;2,84
22809;OTAVIO MARTINS DE SOUZA PROF;FRANCA;FRANCA;4,99
22822;CARMEM MUNHOZ COELHO PROFA;FRANCA;FRANCA;5,26
22834;SUZANA RIBEIRO SANDOVAL PROFA;FRANCA;FRANCA;5,81
